query	answer
小明从不念书却得了模范生，为什么？	小明是聋哑学生
哪里的佛像最少？	南边，南无阿弥陀佛嘛
散文家那样称	诗买不了几个钱成不了家。
北极熊最陌生的动物是什么？	企鹅
小王坐在桌前读书，为什么不开台灯？	大白天开什么呀
世上什么东西最好吃？	嘴巴
世界上哪一种花力气最小？）	茉莉花（好一朵美丽（没力）的茉莉花）
什么人整天吃个没完没了呢？	口吃的人
如果你跟一头熟睡的狮子共处一个20平方米的笼子，你该怎么办？	没别的东西只能吃它了
一加一等于什么？	等于“王”
为什么飞机飞这么高都不会撞到星星呢？	因为星星会“闪”
狗的儿子跟龙的儿子，有几点差异？	一点（犬子太子）
猫见了老鼠为什么拔腿就跑？	跑去捉老鼠
烦恼的时候应该吃什么？	吃开心果
0到9这几个数字谁比较高？	0最高
在有二枚市面常用的硬币，面值共为六毛，其中有一枚不是一毛，请问二枚硬币面值各为多少？	一枚不是一毛，那另一枚是一毛，因此是一毛和五毛
有一个胖子，从高楼跳下，结果变成了什么？	死胖子
乌龟的心和什么很像？	归心似箭
什么时候棉花比盐重？	浸了水
女人在什么时候最有自知之明？	化妆的时候
134的后面是什么？853的后面是什么？123的后面是什么？3个答案都一样	他们的后面都是“什么”
十万个为什么是什么？	想问什么就问什么
让病人出一身大汗的妙方是什么？	当着病人的面把补药全吃掉
“东方”轮上的大副说他去过没有春夏秋冬，没有昼夜长短变化的地方，那是什么地方？	赤道
有一种植物和动物合起来象鸡，问这种动物和植物是什么？	树和马，应为数码相机（树马象鸡）
什么东西左看像电灯，右看还像电灯，却不会亮？	坏掉的电灯
针掉到大海怎么办？	再买一颗
体育比赛要求运动员“更高、更快、更强”，要“向前进”，但有一种比赛只能往后推，这是什么比赛？	拨河比赛
法王路易十四被砍头后他的儿子当了什么？	孤儿
小刘是个很好的电工师傅，可他今天修好的灯却不亮，为什么？	今天停电
你知道聪明和傻子的区别吗？	傻子提问聪明的回答
下雨都怕淋，可是有的雨大家都喜欢淋，为什么？	淋浴
有一样的东西能托起五十公斤的橡木，却容不下五十公斤的沙，你知道是什么吗？	水
阿兰还没有孩子，为什么她却当了娘？	因为她结婚了，当了新娘
什么东西明明是你的，别人却用得比你多得多？	你的名字
四个人发一副扑克牌，发到中间的时候，忘记该发给谁了，怎样才能不数牌而又继续正确发牌呢？	把剩下的牌从下往上反着发。
明尼波里市的某个蛋商，在空房间的地板上放置四个蛋。然后用一个铁制的大滚筒，推压整个房间；蛋却一个都没破。这是为什么？	四个蛋放到四个角上
为什么篮球板上要抹两勺盐？	一言难尽
增长智力最有效的办法是什么？	吃一堑，长一智
妈妈叫小民去拿碟子来装菜，小民拿来了，却被骂了一顿，为什么？	他拿的是光喋
什么东西最容易满足？	袜子
一个人在沙滩上行走，但在他的身后却没有发现脚印，为什么？	他在倒着走
两岁的叮当为什么看到隔壁的欧巴桑都叫她“伯伯”，而对方却一点也不生气？	因为他是阿拉伯人
什么有的果树生长十几年也不接一个苹果？	那不是一颗苹果树
晚餐都煮好了，为什么妈妈不叫全家吃饭？	晚餐吃面
小明到了国外发现周围都是中国人，为什么？	因为小明到了中国
青春痘长在哪里，你比较不担心？	别人脸上
世界上最无情的食物是什么？	空心菜
贪玩但是这次兔子还是输了，为什么？	乌龟把终点设在了海里
为什么多啦A梦一辈子都生活在黑暗中？	因为他伸手不见五指
一个人从飞机上掉下来，为什么没摔死呢？	飞机停在地上
积木倒了要重搭，房子倒了要怎样？	要逃命
小明的后面是什么？阿星的后面是什么？	的后面是什么？
太阳和月亮在一起是哪一天？	明天
什么样的山和海可以移动？	人山人海
“好马不吃回头草”最合乎逻辑的解释是什么？	后面的草都吃光了
细菌靠别的生物寄生而活，那什么靠细菌活？	医生
三面墙一面空小孩子在当中	匹
什么东西有时穿男装，有时穿女装，有时穿童装？	衣架。
酒后驾车出事死了打一成语	罪（醉）有应得
下雨天不怕雨淋的是什么？	雨伞和雨衣
世界上有多少个厕所？	两个，男厕和女厕。
什么人天天过着刀刃生活？	滑冰运动员（包括速滑和花滑冰）
阿美在事业并没有什么成就，为什么也有女强人的外号？	因为她常常强人所难
小明初一12岁，初三为什么还12岁？	大年初一和初三嘛
牛的舌头和尾巴在什么地方遇在一起？	锅里
俩人不对，整整仨月，腰别小刀，不让人知（打一字）？	偷
什么人天天和人打架？	拳击运动员
乌龟又把房子拆了，又盖了间房子，然后钻了进去{猜个保健品}	巨能钙
寺庙着火了，为何还有人说“妙哉”？	说的是”；庙灾“；
锤子锤碗锤不破，为什么？	碗破了
“水蛇”“蟒蛇”“青竹蛇”哪一个比较长？	竹叶青
历史上哪位诗人最欠扁？	苏武牧羊北海边（被海扁）
有十只羊，九只蹲在羊圈	抑扬顿挫（一羊蹲错）
中国人讲什么话？	中国话
永远摸不到的是什么？	永远
你知道什么样的橘子会把人打成脑震荡吗？	罐装橘子
什么时候开车最不耗油？	哈哈哈，这里说的开夜车不是真的开车啦，指的是熬夜
現场只留下一滩水和一些碎玻璃，请推测他们的死因？	阿强和阿燕是金鱼
一年中哪一天是最萌的一天？	十月十日（艹=十十，艹+明=萌）
听好呢，床前明月光的前一句是什么？	听好呢
查理为什么说他的家是凑起来的	因为爸爸妈妈和查理分别出生于不同的地方。
小呆骑在大牛身上，为什么大牛不吃草？	大牛是人
请解释擒贼先擒王。	丢了东西先驱找姓王的
蛋要怎么买，才不会买到里面已经孵出了小鸡的蛋？	买鸭蛋。
一只瞎了左眼的山羊在它左边有一块牛肉，在他的右边有一块猪肉，请问他吃哪一块？	都不吃，它吃素
为什么有些医院从不帮人看病？	因为那些是帮各种宠物看病的兽医院
世界上有什么东西以近2000公里/小时的速度载着人奔驰，而且不必加油或其它燃料？	地球
水多一点（打一字）	永
陆先生刚理发完，便要求理发师将他的头发“中分”，理发师说做不到，为什么？	他的头发是奇数
什么东西旧的和新的同样值钱？	当然是钱呀！
二木不成林（打一字）？	相
什么东西没吃的时候是绿的，吃的时候是红的，吐出来的是黑的？	西瓜
有两块牛扒放在一起，一块是2成熟的，另一块是4成熟的，请问它们为什么不说话？	因为它们不熟
什么鱼不能吃？	木鱼
有一个人，看电影时因为有事去晚了半个小时，没想到来到电影院时竟半个人影都没有见到。（已知电影正常演出）	世界上没有半个人影的人
泰山是人猿养大的，那么蝙蝠侠又是谁养大的？	那当然是由他的爸爸妈妈养大的。
有100个捧球队比赛，决出冠军最少要赛多少场？	要赛99场
什么人靠别人的脑袋生活？	理发师
妈妈把一头漂亮的长发剪短了，可是回到家进而却没有人发现为什么？	因为家里没人
什么人在刀刃上生活？	滑冰运动员
一个红螃蟹和一个黑螃蟹比赛跑，谁会赢？	黑螃蟹，因为红的是已经煮熟了的，不会跑的~当然是黑的赢啦~~~
小王没学过算术，老师却夸她的数学是数一数二的，为什么？	从一数到二
草是怎么死的？	踩死的
什么东西越热越爱出来？	汗
伴奏。打一成语	肋人为乐
大华坐公车为什么不用付钱？	因为公车还停在站上
有一艘船限载50人，船上已有49人后，再加上一	这是个潜水艇
什么黑家伙是由光造成的？	影子
为什么热恋的人喜欢在较黑的地方谈恋爱？	因为爱情是盲目的
什么东西放在火中不会燃，放在水中不会沉？	冰块。
什么书最吊人胃口？	当然是菜谱呀！
一天，一块三分熟的牛排在街上走着，突然他在前方看到一块五分熟的牛排，可却没有理会他。他们为什么没打招呼？	因为他们不熟
太平洋中间是什么啊？	平字
有一种东西要是洗了反而大家都不吃，请问是什么？	水
字典放在地上为何没人能跨过去？	字典放在墙角上。
小明上班时间吃了红豆汤圆，经理看见后生气的说，太闲了是不是，小明回答了一句什么话把经理气的差点晕倒？	不，是甜的
小明睡觉的时候，妈妈最怕什么？	小明尿床
哪位老爷爷最长寿呢？	老天爷
什么人隔一夜就会变老？	新娘
小波比的一举一动都离不开绳子，为什么？	小波是个木偶
小华在偷偷地看一本书，妈妈看了后不生气，反而吓了一跳，为什么？	那本书是鬼故事
有一头猪拼命的跑，前面有堵墙还是一直跑，最后一头撞死了，为什么？	猪的脑筋不会急转弯
说从天津坐火车到北京1个小时15分钟，问火车从天津出发1个小时45分钟后在哪？	在铁轨上
你知道人人坐着看电影的原因吗？	因为站着看脚会酸
一对夫妇天天都吵架，为什么六月份只吵了20天？	因为他们是6月10日结婚的。
猪圈里的猪出第3次来了，怎么办？	仔仔
有一种车却没有一个轮子，这是什么车？	是象棋中的车
为什么两个孩子恰恰好？	因为不孝有『三』…
看书的时候最怕遇见什么事情？	结尾被人撕掉几页。
什么书买不到？	遗书
什么季节最长？	秋天（一日不见如隔三秋）
有一个人上班天天迟到，为什么不被炒鱿鱼呢？	老板
有瓶葡萄酒，小王用尽办法都无法拔开瓶盖，结果他不打破酒瓶，也不钻洞，仍然喝到了酒，为什么？	把软木塞塞到瓶子里
有架飞机失事，现场支离破碎，令人惊讶的是找不到任何伤着，为什么？	那是一架遥控飞机
什么东西破裂之后，即使最精密的仪器也找不到裂纹？	感情
办什么事睁一只眼闭一只眼比较好些？	射击的时候
什么可以打开所有的谜团？	答案
你知道中国哪个城市重男轻女的思想最严重吗？	贵
为什么吃完晚餐后，全家都喜欢坐在电视机前看电视？	因为站久了脚会酸。
一点一横长，一撇飘南洋，南洋有个人，只有一寸长。	府
什么人有4个手指？	正常人都有吧
街上的流浪狗那么脏为什么没生跳蚤？	因为狗只会生小狗
什么动物在过斑马线的时候非常累？	变色龙非常累，因为它要不停的变色。
森林里什么动物混得最开？	斑马，因为黑白两道它都混
在平衡的跷跷板两边各放一个西瓜和冰块，重量相等，如果就这样放着，最后，跷跷板会向哪个方向倾斜？	一样水平冰化了西瓜滚了
什么人是人们说时很崇拜，但却不想见到的人？	上帝
男子到外地出差，在车站和热恋中的女友分别。女友深情地摸着他的脸，含泪不语，N分钟后。男子忍不住，说道：“有什么话就说吧，我又不是触摸屏！”	有什么话就说吧，我又不是触摸屏
什么东西有无数只脚却站不稳？	扫帚
一个圆画在哪里永远走不出去？	自己的腰上
一妹纸天天给我送便当，都连送好几周了，一天我不好意思的对她说：便当很好吃，我还没等我说完，妹纸兴奋的说：真的吗？那是我哥哥做的，他都喜欢你好久了呢！	是我哥哥做的，他都喜欢你好久了呢
什么时候时钟会响13下？	坏的时候
胖子坐轿子，猜猜是哪个地名？	南斯拉夫
出太阳为什么要撑伞？	总不能像阿拉伯人蒙面纱戴头巾
什么照片看不出照的是谁？	X光片
谁不能唱“哥哥爸爸真伟大”？	亚当和夏娃
如何将你的右手放在左裤兜里，左手放在右裤兜里？	将裤子反着穿
你知道不能和养什么动物的人做朋友吗？	鸽子
有一根棍子，要它变短，但不能锯断、折断或削短，该怎么办？	找一个长的与它比，就短了
小涵捉到一只小鸟，她把小鸟放在桌子上，小鸟却没有飞，是什么原因？	鸟已死
请问你，甚么狗不会叫？	热狗。
为什么女生上了大学三年级就很富有？	因为女大三抱金砖
小明说他一次可以放10万个风筝，他并没有吹牛。你知道他是如何放的吗？	在风筝上写上十万个
什么动物可以贴在墙上？	海豹（海报）
波霸参加500公尺赛跑，一路领先的波霸不慎摔了一大跤却还能得第一名，为什么？	因为其它人都被陷到坑里了
小明喜欢运动，有一天他在摄氏38高温大太阳下做很激烈的运动，为什么也居然不会流汗？	他在水里游泳
释迦牟尼是男人还是女人？	他是神
考考你，有一个部位爸爸可以碰两次，男朋友能碰一次，女朋友能碰一次，老公永远碰到不到	嘴唇（因为念“；爸爸”；这两个字时嘴唇共触碰两次，念“；男朋友&rdq
为什么小鹿拒绝熊猫的求爱？	小鹿胆怯地说：我妈说了，戴墨镜的都是不良少年。
0在街上遇到9，为什么十分伤心的哭了？	因为0看见了9才知道自己没有腿
华盛顿小时候砍倒他父亲的樱桃树时，他父亲为什么不马上处罚他？	因为他手头上还有斧头
全世界列亡率最高的地方在哪里？	在床上
醉鬼是什么人？	宣布自己没醉的人
一只老虎被一根85米长的绳子捆着，它前方100米处有一堆草，老虎怎么样才能吃到草？	老虎不吃草
老李带婴儿去喝酒，居然还让婴儿喝了三大杯啤酒，旁边的人为什么都不劝阻或责骂呢？	“婴儿”是那个人的外号
数字0到1之间加一个什么号，才能使这个数比0大，而比1小呢？	加个“。”成为“0。1”
某人花19快钱买了个玩具，20快钱卖出去。他觉得不划算，又花21快钱买进，22快钱卖出去。请问它赚了多少钱？	2元
蜜蜂钉在挂历上，打一成语？	风和日丽
上面是毛，下面是毛，晚上毛挨毛。人体一器官。	眼睛
13个人捉迷藏，捉了10个还剩几个？	两个，确实是两个。。。
大二的时候，上法律课，我们法律老师有个癖好，喜欢提问，提问之前必高声重复一遍问题。有一次正在上《民法通则》，突然老师又提高声音开始提问，所有同学都恐惧地盯着老师，惟恐被喊到，因为老师以提问来代替点名，	搞笑点名
家都看见地上有张100元的钱，为什么没有捡？	那是阴币
286、386、486这些CPU差在那里？	插在主板上。
你知道为什么不能和阿姨同坐一条船吗？	友谊的小船
早上，玲玲到刘大妈那儿买茶叶蛋，手上的钱正好买2个，刘大妈却不卖给她，这是怎么回事？	茶叶蛋还没有煮好
哪种比赛，赢的得不到奖品，输的却有奖品？	划拳
两名打字员打两页书稿需要2个小时，那么请问18名打字员打18页书稿需要多长时间？	还是需要2个小时。
最大的山寨是哪一个？	柬埔寨是一个国家，当然比任何一个山寨都大
于宙飞船须密行？	天机不可泄露
小玉对小明说她爸爸性无能（打一成语）	欲罢不能（玉爸不能）
甲、乙、丙、丁、戊、己、庚、辛，那一个字最酷？	丁（丁字裤）
小王因工作需要常交际应酬，虽然每天都很早回家，可妻子还是抱怨不断，这为什么？	他每天凌晨回家
小明总是喜欢把家里的闹钟整坏，妈妈为什么总是让不会修理钟表的爸爸代为修理？	修理小明
为什麽老师从小就叮咛我们要珍惜四支箭	光阴似箭（四箭）
黑手党为什么喜欢戴白手套？	因为手太黑。
如何最快的将不可能的事变成可能的事？	将“；不”；字去掉
豆腐为什么能打伤人？	因为是冻豆腐
一个挂钟敲六下要30秒，敲12下要几秒？	66秒
桌子上有12支点燃的蜡烛，先被风吹灭了3根，不久又一阵风吹灭了2根，最后桌上还剩几根蜡烛？	5根，因为没被风吹灭的都燃完了
一个班的伞兵训练跳伞，班长说跳出机外数到30秒才能拉伞，结果其他人平安落地，只有一个人不幸身亡，为什么？	因为那个“口吃”。
老张二十多年一直卖假货，为什么大家却认为他是大好人？	老张卖的是假发
小强在大雨的旷野中奔跑了十分钟，头发却没有湿，为什么？	因为小强打着伞
除了变色龙以外，什么动物最擅长伪装术？	人
有一条异常凶猛的大眼镜王蛇，但不论如何去激怒它，它都不咬人，为什么？	因为它住在一个根本没有人的森林
吹牛的人能令别人发现他的什么？	无知
冶金学------打一本书（小说）名	《钢铁是怎样炼成的》。
为什么白鹭总是缩着一只脚睡觉？	缩两只脚不就摔倒了
不必花力气打的东西是什么？	打哈欠
什么人喜欢天天下雨？	雨伞制造商
皮皮一心想当皇上，请问他什么时候才能登基呢？	坐飞机的时候就能登基（机）了
什么事情是天不知道地知道，你不知道我知道？	鞋底破了一个洞
一架纸飞机的造价为什么是一万人民币？	用一万元的支票折成的
我们单位有位同事叫袁健，你猜他儿子叫什么名字？	父亲是袁健，儿子肯定是复印件啊~
爸爸要小明背《论语》，他1分钟就背了整本书，难道小明是天才吗？	不，因为他只背了“论语”两个字
弃文就武（打一成语）？	投笔从戎
盆里有6只馒头，6个小朋友每人分到1只，但盆里还留着1只，为什么？	最后一个小朋友把盆子一起拿走了
什么药最容易迷路？	人参，正所谓人生地不熟，而人生谐音人参
大明小明两兄弟从小父母双亡，大明养小明，那谁养大明呢？	久仰（养）大名（明）
小花、小明是邻居，同楼同班又是同桌，天天一起去上学。可是，一个出门往左拐，一个出门往右拐，为什么？	他们是对门邻居
盘子里有8个包子，8个小朋友每人拿走1个，为什么最后盘子里还有1个？	因为最后一个小朋友是把盘子也一块拿走了。
父母吵架，孩子最好站在哪一边？	旁边
一人把李逵请来说：“李逵，你把宋江叫来！”打一成语	呼风唤雨（呼“黑旋风”唤“及时雨”）
单兵甲偷用了单兵乙的牙刷，单兵乙有B型肝炎，为什么单兵甲却没有被传染？	他拿去刷皮鞋了
老陈工作时一直闭着眼睛，从不睁开，他究竟是做什么工作的？	假装瞎子乞讨
有两个人，一个面朝南一个面朝北的站立着，不准回头也不准照镜子，问他们能否看到对方的脸？	能，他们面对着站着
妻：你关心球赛胜过关心我和孩子。夫：谁说的？妻：还不承认？我问你，咱们小宝是哪天出生的？夫：辽宁队和八一队赛球那天！	辽宁队和八一队赛球那天
什么军最厉害？	冠军。
人到世界上看见的第一个人是谁？	接生的人
想揍某个同学，怎么打才能让他既无怨言又心存感激？	用钱砸
什么情况下，人睡着了醒来时却不知道自己在哪儿？	坐车坐过站的人。
一艘正在水中航行的船为什么会突然消失得无影无综	因为小宝已经洗完澡把它拿走了
甲乙丙丁四兄弟哪个最酷？哪个最蠢？	丁最酷：丁字裤；甲和乙最蠢：甲醇、乙醇。
小明的妈妈生了三个孩子，老大叫大毛，老二叫二毛，老三叫什么？	小明
什么一开口就要钱？	打电话
很多买新钢琴的人家，为什么都喜欢在钢琴上摆一座贝多芬的石膏像？	因为贝多芬是聋子，弹得太差他也听不到呀！
小王开着空出租车出门，为什么一路上都没有人向他招手搭车？	他走的是高速公路
太监最不喜欢的一首歌是什么？	一剪梅
怎样使用最简单的方法使X+I=IX等式成立？	1+X
从前的人结婚都要先查一查对方的三代，现在的人则查什么？	口袋
五个兄弟，住在一起，名字不同，高矮不其	手指
蓝色的刀和蓝色的枪（猜4字成语）？	刀枪不入（Bule）
一个警察的儿子从来不叫这个警察为爸爸，为什么？	这个警察是个女的
小明家的面包都变很硬了，为什么他还拿去喂鸟？	他喂的是啄木鸟。
安妮的医师男友到外地出差一年，每两天会写一封情书给安妮，请问两个月之后，安妮会收到几封情书？	一封也没有，有，但他太懒了，一封也没有寄。
什么书不单独卖？	说明书
小明看书的时候，为什么不能把书签放在175页和176页之间？	因为是写在一张纸上。
一个人在十八楼上班，他坐电梯为什么只按八楼不按十八楼？	他太矮按不到十八楼
小红与妈妈都在同一个班里上课，这是为什么？	妈妈是小红的班主任
为什么很多学生上课会打瞌睡？	前几节没有睡饱
什么妖怪，大家都不害怕？	难怪
超人和蝙蝠侠的最大区别是什么？	蝙蝠侠把内裤穿在里面，超人把内裤穿在外面
为什么胖的人比瘦的人怕晒？	晒的面积比较大
被鳄鱼咬和被鲨鱼咬后的感觉有什么不同？	没有人知道
从前有一个小黄瓜，她觉得自己脸上的粉刺太多了，你猜怎么着？	它把自己切片敷脸了。
戴维一家五口外出旅游，说好一人带一瓶饮料可戴维坚持只带4瓶可口可乐，为什么？	还有一瓶是汽水。
远东百货被偷，警察立刻封锁住所有出口，但为什么小偷仍逃了出去？	小偷可以从人口逃走
小凯开着车子，却始终到不了目的地，为什么？	车子倒着走
一百零一了（打一成语）	一了百了
不管是谁，只要看到他，就会给他钱，他到底是谁，为什么有这么大的魅力？	好兄弟
从前大家都怕“大哥大”，现在却喜欢“大哥大”，到底怎么回事？	大哥大电话谁不喜欢
碰到什么节的时候，人人都很难过？	雨伞节
谁的脚常年走路不穿鞋？	动物的脚
小王中午时候去开会，为什么半个人影也没看到？	影子是没有半个的
什么蔬菜只有公的没有母的？	南瓜
住在什么样的家里，脚不出家门就可以上班工作？	国家
马上就要进行期末考试了，千万不能看什么书？	百科全书（百科全输）
古时候没有钟，有人养了一群鸡，可是天亮时，没有一只鸡给他报晓。这是为什么？	他养了一群母鸡
新买的袜子上有个很大很大的洞怎么办？	每只袜子上都有个袜子口
神童都是凭什么考进名校的？	凭手凭脚
什么事可以在这里不仅可以练就一身钢筋铁骨，而且能成就一双不惧“风雨”的眼睛？	洗澡
什没东西只能往前走，不能往后退？	时间
唐老鸭最怕什么事？	发现原来自己是白天鹅
有一个人舔冰棒，为什么越舔冰棒越大支？	因为他在南极舔
为什么小伟做完10下伏地挺身后，地上多了个凹洞？	因为他单手做伏地挺身（想歪的面壁去）
秦始皇为什么需要这么多兵马俑陪葬？	准备到阴间去发动政变
那种生活方式容易致癌？	宅
三国美男子周瑜，为什么会感慨的说：“既生瑜，何生亮”呢？	因为诸葛亮长的比周瑜帅
小王去商店买东西，可是柜台里空空的，小王却买到了他要的东西。小王买到了什么？	小王买的就是柜台，拿回来再装东西。
老王从九岁开始有虫牙，为什么90岁时他的牙都还在？	虫早已换掉
和尚在南方还是北方？	北方
同是四横四竖，但有一高一低，两个和在一起，变的四方中齐。（猜2字）	凹凸
琼斯练钢琴，除了妈妈给钱，还有谁给？	邻居因为他一练琴他们就别想睡。
什么东西从来没有挪动过，却能上能下？	楼梯
既没有生孩子、养孩子也没有认干娘，还没有认领养子养女就先当上了娘，请问：这是什么人？	新娘
狗为什么喜欢汪汪叫？	因为它们不会说话。
最不会看眼色行事的人是谁？	瞎子
哪一种动物，虽说是金，却不是真，大眼孩儿，爱穿长裙？	金鱼
小立在街上走，前面有个人掉了一块肉和一个钱包，小立为什么捡肉不捡钱包，钱包里有很多钱？	因为小立是狗
跳电情况下，为什么陈先生按了开关，电灯却没有亮？	他按的电视开关。
一只饿猫从一只胖老鼠身旁走过，为什么那只饥饿的老猫竟无动于衷继续走它的路，连看都没看这只老鼠？	瞎猫遇到死耗子
当地震时，什么地方最安全？	地狱
阎王爷写日记（打一成语）？	鬼话连篇
猪的全身都是宝，用处很大，猪对人类还有什么用处	还可以用来骂人
如果减肥不成功，有什么办法让自己显瘦呢？	想办法让周围的人胖起来。
比“春光外泄”更严重的是什么？	瓦斯外洩
为什么离婚的人越来越多？	因为结婚的越来越多
老张是一位出色的小说家，为什么有一次他连续写了一个月，连一篇小说的题目都没写出来？	写的是散文
大勇向小伙伴们吹嘘说：今天上课的时候，老师提了一个问题，全班除了他没有一个答对，你猜老师问的是什么问题？	说：大勇你为什么又迟到了？
在中国，哪个村庄最大？	石家庄
上海的南京路，来往最多的是什么人[答案]	中国人
翘鼻妹去看文艺晚会，发现一个演员总是背对观众，那是谁？	指挥
人们在早餐时从来不吃什么？	午餐|晚餐
王辅导一向心直口快，什么事竟然会让他突然变得吞吞吐吐起来？	他在吃甘蔗
你爸爸的妈妈的妹妹的女儿的叔叔是你的什么关系？	亲戚关系
每个人都最爱的人是谁？	自己
你知道把海水弄干的最快方法吗？	把三点水去掉。
一字四十八个头，内中有水不外流。猜一字。	井。此迷的关键理解出四个十和八个头，而不是四十八个头。
小赵买一张奖票，中了一等奖，去领奖却不给？	没到领奖的日期
在什么时候1+2不等于3？	算错了的时候
哪家人最多？	国家
三国时期赤壁之战曹操战败。请猜两个歌星姓名。	刘欢和孙悦
初中时，一个同学叫李猜，一次上英语课英语老师问他叫什么名字，他说李猜，老师又问了一遍，他如是回答，英语老师大怒，狂吼一声：“我不猜”。	英语老师大怒，狂吼一声：“我不猜”
长安一片月（打一字）	胀
什么电不电人？	贺电
每天早上从东方升起，西方落下，猜一种五个字的东西？	是是是太阳（有点儿口吃）
什么东西体型虽小，却装得下很多比它大的东西？	电视机
为何小明发现自己家冰箱里的好吃的被蚂蚁和长颈鹿吃了？	因为蚂蚁和长颈鹿的自行车停在冰箱旁边。
什么书既没有作者也从来没有人看得懂？	天书
晚上停电了你会在哪里？	黑暗中
鱼头和鱼尾什么时候会碰面？	菜盘子里
威尼斯画派的代表是谁？	提香
书店里买不到什么书?	遗书
做什么事情最开心？	开心手术
盆里有5苹果，5个小朋友每人分到1个，但最后盆里还有一个，为什么？	最后一个小朋友把盆一起拿走了
红豆家的小孩是谁？	南国（红豆生南国）
吸血鬼抓住了一个人，并不马上吃他，那只吸血鬼要干什么？	先看看那个人的血型再说
什么样的人见到阳光就会躲得无影无踪？	雪人。
什么会出席的人数最少？	约会
我不会轻功，但一只脚搭在鸡蛋上，鸡蛋不会破，这是为什么？	另一只脚站在地上
天上有七个仙女，老四、老五、老六、老七都下凡了……打一电影名	刘三姐！（留三姐）
从来没见过的爷爷他是什么爷爷？	老天爷
阿三死了，为什么大毛理直气壮的说：“凶手不是我，绝对另有其人1	因为阿三是电视推理剧场中的
冬瓜、黄瓜、西瓜、南瓜都能吃，那你知道什么瓜不能吃吗？	傻瓜
有个地方发生了火灾，很多人都看到但却没人报火警，为什么呢？	发生火灾的地方是消防队
怎样在一枚硬币上放稳两个乒乓球？	踩扁了叠着放
如何保持青春永驻？	练外丹功的时候
一个人把窗户关了，为什么等他再回来时窗户却开了？	因为他女朋友帮他开窗户了
女人最不喜欢什么花？	没钱花
发行量最小的报是什么报？	电报
什么时后你跑得最快？	当你三急时
两只狗赛跑，甲狗跑得快，乙狗……	狗不出汗
有一个眼睛瞎了的人，走到山崖边上，突然停住了，然后往回走，这是为什么？	他只是单眼瞎
小强为什么能用一只手让车子停下来？	打的
哪两个单词有最多的字母？	wordlist
大人上班迟到的原因是塞车，小孩上学迟到的原因是什么？	大人睡过头了
国语还要会哪一种话？	肢体语言
什么字全世界通用？	阿拉伯数字
天气冷的最高境界是什么？	把我们说出的话都冻住
说人话不办人事的是什么？	鹦鹉
什么东西天气越冷越爱在外面溜达？	鼻涕
一般失眠的人都在想些什么？	想睡觉
地球上哪一部分绝对照不到太阳？	任何地方都照不到太阳，因为地球不发光
人在不饥渴时也需要的是什么水？	薪水
一个不会轻功的人一脚踩在鸡蛋上，为什么鸡蛋没有破？	因为他另一只脚站地上
在唐朝有谁戴眼镜？	李白
哪一种人占用地球表面积最小？	芭蕾舞演员
三撇六竖十八横—猜一个字？	矗
什么鱼最聪明？	鲸（精）鱼
两个人住在一个胡同里，只隔几步路，他们同在一个工厂上班，但每天出门上班，却总一个向左，一个向右，为什么？	他们住对门
为什么小王只有一条右腿？	每个人都只有一条右腿和一条左腿
目前国内哪些人拒二手烟最积极？	坚持抽第一手烟老烟枪
做什么事会身不由己？	做梦。
为什么初生牛犊不怕虎？	没见过世面
“个个大！个个大1母鸡叫什么叫？原来它下蛋了。”你的广告做的很到位1公鸡听了，一边夸奖母鸡，一边去参观自己的胜利成果。这一看不打紧，公鸡气势凶凶地追母鸡，声称要修理它。问题是：公鸡为什么要追赶？	原来母鸡下了一个大鸭蛋
小王开着空出租车出门，为什么一路上都没有人向他招手搭车呢？	高速公路
一天，洋洋不小心撞到电线杆，为什么他连手都疼？	洋洋狠狠地打了电线杆一顿
带莫字的莫愁、莫言都火了，我们该怎么办呢？	莫急。
哪一种竹子不长在土里？	爆竹
有一种药你不用上药店买就能吃到，是什么药？	后悔药
什么人最喜欢日光浴？	植物人（光合作用）。
一个儿子同处一室，三人合计却有九只手，为什么？	祖孙三代同是扒手
有两个人掉到陷阱里了，死的人叫死人，活人叫什么	叫救命
时钟什么时候不会走？	时钟本来就不会走
风的孩子叫什么？	水起（风生水起
男人泡澡堂-----打一军事用品。	炮弹
什么鼠最爱干净？	环保署
请问世界上什么东西最大？	眼皮
什么球离你最近？	地球
什么地方的人是不用电的？	缅甸人
什么路最窄？	冤家路窄
什么样的情况下，一加一绝对不等于二？	一大杯水加进一斤面粉中，只会等于一块面团。
questions	answers
乌龟在它的龟壳里盖了间房子，然后钻了进去。{猜个保健品}	盖中盖
关公兵败走麦城—打一字？	翠
患者张开嘴巴之后，牙医吓了一跳说：“哇！你的牙齿蛀了好大一个洞！哇！你的牙齿蛀了好大一个洞，一个洞1请问他为什么要说两遍呢？	因为那是回音
不小心打破妈妈最喜欢的花瓶，该怎么办？	赶快假装昏倒
洗脸的叫脸盆那洗手的呢？	金盆（金盆洗手）
某人买了一辆车，两年后却以更高的价钱卖了出去，为什么？	古董车
长4米，宽3米，深2米的池塘，有多少立方米泥？	池塘是空的，没有泥。
小偷最怕哪三个字母？	i、c、u（Iseeyou）
什么人心肠最不好？	得胃肠炎的人。
